2022-05-19 18:05:276 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-19 18:05:814 INFO  StartPage :24 - Clicking on startNowButton [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //a[@class='gem-c-button govuk-button govuk-button--start']]
2022-05-19 18:05:898 INFO  SelectNationalityPage :28 - Selecting nationality Chile from dropdown [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //select[@id='response']]
2022-05-19 18:05:763 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:121 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:177 INFO  DurationOfStayPage :44 - Selecting option longer than 6 months from dropdown [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //input[@id='response-1']]
2022-05-19 18:05:276 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:340 INFO  WorkTypePage :65 - Selecting job Health and care professional from dropdown [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //input[@id='response-0']]
2022-05-19 18:05:548 INFO  SelectNationalityPage :32 - Clicking on nextStepButton [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //button[contains(text(),'Continue')]]
2022-05-19 18:05:565 INFO  ResultPage :24 - Clicking on resultMessage [[ChromeDriver: chrome on WINDOWS (7f5bd19bb2a70f12600db58be579b2b4)] -> xpath: //div[@id='result-info']//div[2]/h2]
